,Amplitude
0,14.0
1,14.0
2,15.0
3,15.0
4,16.0
5,16.0
6,17.0
7,17.0
8,18.0
9,18.0
10,19.0
11,20.0
12,20.0
13,20.0
14,21.0
15,22.0
16,22.0
17,22.0
18,23.0
19,23.0
20,23.0
21,23.0
22,23.0
23,23.0
24,23.0
25,23.0
26,23.0
27,23.0
28,22.0
29,22.0
30,21.0
31,20.0
32,20.0
33,20.0
34,19.0
35,19.0
36,18.0
37,17.0
38,16.0
39,16.0
40,16.0
41,15.0
42,14.0
43,14.0
44,14.0
45,14.0
46,13.0
47,13.0
48,13.0
49,13.0
50,13.0
51,13.0
52,13.0
53,14.0
54,14.0
55,14.0
56,14.0
57,15.0
58,15.0
59,16.0
60,16.0
61,17.0
62,18.0
63,18.0
64,19.0
65,19.0
66,19.0
67,20.0
68,21.0
69,22.0
70,22.0
71,22.0
72,22.0
73,23.0
74,23.0
75,23.0
76,23.0
77,23.0
78,23.0
79,23.0
80,23.0
81,22.0
82,22.0
83,22.0
84,21.0
85,21.0
86,20.0
87,20.0
88,19.0
89,19.0
90,18.0
91,17.0
92,17.0
93,16.0
94,15.0
95,15.0
96,14.0
97,14.0
98,14.0
99,14.0
100,13.0
101,13.0
102,13.0
103,13.0
104,13.0
105,13.0
106,13.0
107,14.0
108,14.0
109,14.0
110,14.0
111,15.0
112,15.0
113,16.0
114,16.0
115,17.0
116,18.0
117,18.0
118,18.0
119,19.0
120,20.0
121,20.0
122,21.0
123,21.0
124,22.0
125,22.0
126,23.0
127,23.0
128,23.0
129,23.0
130,23.0
131,23.0
132,23.0
133,23.0
134,23.0
135,23.0
136,22.0
137,22.0
138,21.0
139,21.0
140,21.0
141,20.0
142,19.0
143,19.0
144,18.0
145,17.0
146,17.0
147,16.0
148,16.0
149,15.0
150,15.0
151,15.0
152,14.0
153,14.0
154,14.0
155,13.0
156,12.0
157,13.0
158,13.0
159,13.0
160,13.0
161,13.0
162,14.0
163,14.0
164,14.0
165,15.0
166,16.0
167,16.0
168,16.0
169,17.0
170,17.0
171,18.0
172,18.0
173,19.0
174,20.0
175,20.0
176,20.0
177,21.0
178,22.0
179,22.0
180,23.0
181,23.0
182,24.0
183,23.0
184,23.0
185,23.0
186,23.0
187,23.0
188,22.0
189,22.0
190,22.0
191,22.0
192,21.0
193,21.0
194,20.0
